date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,SoybeanOil_N0,SoybeanOil_N1,SoybeanOil_N2,SoybeanOil_N3,SoybeanOil_N4,SoybeanOil_N5,SoybeanOil_N6
2022-04-27,O,2022-04-26 20:00:00,2022-04-27 14:20:00,2022-04-27 14:14:00,2022-04-27 14:15:00,39,202205,202207,202212,202301,202303,202305,202307
2022-04-28,O,2022-04-27 20:00:00,2022-04-28 14:20:00,2022-04-28 14:14:00,2022-04-28 14:15:00,38,202205,202207,202212,202301,202303,202305,202307
2022-04-29,O,2022-04-28 20:00:00,2022-04-29 14:20:00,2022-04-29 14:14:00,2022-04-29 14:15:00,37,202205,202207,202212,202301,202303,202305,202307
2022-05-02,O,2022-05-01 20:00:00,2022-05-02 14:20:00,2022-05-02 14:14:00,2022-05-02 14:15:00,36,202205,202207,202212,202301,202303,202305,202307
2022-05-03,O,2022-05-02 20:00:00,2022-05-03 14:20:00,2022-05-03 14:14:00,2022-05-03 14:15:00,35,202205,202207,202212,202301,202303,202305,202307
2022-05-04,O,2022-05-03 20:00:00,2022-05-04 14:20:00,2022-05-04 14:14:00,2022-05-04 14:15:00,34,202205,202207,202212,202301,202303,202305,202307
2022-05-05,O,2022-05-04 20:00:00,2022-05-05 14:20:00,2022-05-05 14:14:00,2022-05-05 14:15:00,33,202205,202207,202212,202301,202303,202305,202307
2022-05-06,O,2022-05-05 20:00:00,2022-05-06 14:20:00,2022-05-06 14:14:00,2022-05-06 14:15:00,32,202205,202207,202212,202301,202303,202305,202307
2022-05-09,O,2022-05-08 20:00:00,2022-05-09 14:20:00,2022-05-09 14:14:00,2022-05-09 14:15:00,31,202205,202207,202212,202301,202303,202305,202307
2022-05-10,O,2022-05-09 20:00:00,2022-05-10 14:20:00,2022-05-10 14:14:00,2022-05-10 14:15:00,30,202205,202207,202212,202301,202303,202305,202307
2022-05-11,O,2022-05-10 20:00:00,2022-05-11 14:20:00,2022-05-11 14:14:00,2022-05-11 14:15:00,29,202205,202207,202212,202301,202303,202305,202307
2022-05-12,O,2022-05-11 20:00:00,2022-05-12 14:20:00,2022-05-12 14:14:00,2022-05-12 14:15:00,28,202205,202207,202212,202301,202303,202305,202307
2022-05-13,O,2022-05-12 20:00:00,2022-05-13 14:20:00,2022-05-13 14:14:00,2022-05-13 14:15:00,27,202205,202207,202212,202301,202303,202305,202307
2022-05-16,O,2022-05-15 20:00:00,2022-05-16 14:20:00,2022-05-16 14:14:00,2022-05-16 14:15:00,26,,202207,202212,202301,202303,202305,202307
2022-05-17,O,2022-05-16 20:00:00,2022-05-17 14:20:00,2022-05-17 14:14:00,2022-05-17 14:15:00,25,,202207,202212,202301,202303,202305,202307
2022-05-18,O,2022-05-17 20:00:00,2022-05-18 14:20:00,2022-05-18 14:14:00,2022-05-18 14:15:00,24,,202207,202212,202301,202303,202305,202307
2022-05-19,O,2022-05-18 20:00:00,2022-05-19 14:20:00,2022-05-19 14:14:00,2022-05-19 14:15:00,23,,202207,202212,202301,202303,202305,202307
2022-05-20,O,2022-05-19 20:00:00,2022-05-20 14:20:00,2022-05-20 14:14:00,2022-05-20 14:15:00,22,,202207,202212,202301,202303,202305,202307
2022-05-23,O,2022-05-22 20:00:00,2022-05-23 14:20:00,2022-05-23 14:14:00,2022-05-23 14:15:00,21,,202207,202212,202301,202303,202305,202307
2022-05-24,O,2022-05-23 20:00:00,2022-05-24 14:20:00,2022-05-24 14:14:00,2022-05-24 14:15:00,20,,202207,202212,202301,202303,202305,202307
2022-05-25,O,2022-05-24 20:00:00,2022-05-25 14:20:00,2022-05-25 14:14:00,2022-05-25 14:15:00,19,,202207,202212,202301,202303,202305,202307
2022-05-26,O,2022-05-25 20:00:00,2022-05-26 14:20:00,2022-05-26 14:14:00,2022-05-26 14:15:00,18,,202207,202212,202301,202303,202305,202307
2022-05-27,O,2022-05-26 20:00:00,2022-05-27 14:20:00,2022-05-27 14:14:00,2022-05-27 14:15:00,17,,202207,202212,202301,202303,202305,202307
2022-05-30,X,,,,,,,,,,,,
