date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Coffee_N0,Coffee_N1,Coffee_N2,Coffee_N3,Coffee_N4,Coffee_N5,Coffee_N6
2022-12-02,O,2022-12-02 04:15:00,2022-12-02 13:30:00,2022-12-02 12:23:00,2022-12-02 12:25:00,47,202212,202303,202305,202307,202309,202312,202403
2022-12-05,O,2022-12-05 04:15:00,2022-12-05 13:30:00,2022-12-05 12:23:00,2022-12-05 12:25:00,46,202212,202303,202305,202307,202309,202312,202403
2022-12-06,O,2022-12-06 04:15:00,2022-12-06 13:30:00,2022-12-06 12:23:00,2022-12-06 12:25:00,45,202212,202303,202305,202307,202309,202312,202403
2022-12-07,O,2022-12-07 04:15:00,2022-12-07 13:30:00,2022-12-07 12:23:00,2022-12-07 12:25:00,44,202212,202303,202305,202307,202309,202312,202403
2022-12-08,O,2022-12-08 04:15:00,2022-12-08 13:30:00,2022-12-08 12:23:00,2022-12-08 12:25:00,43,202212,202303,202305,202307,202309,202312,202403
2022-12-09,O,2022-12-09 04:15:00,2022-12-09 13:30:00,2022-12-09 12:23:00,2022-12-09 12:25:00,42,202212,202303,202305,202307,202309,202312,202403
2022-12-12,O,2022-12-12 04:15:00,2022-12-12 13:30:00,2022-12-12 12:23:00,2022-12-12 12:25:00,41,202212,202303,202305,202307,202309,202312,202403
2022-12-13,O,2022-12-13 04:15:00,2022-12-13 13:30:00,2022-12-13 12:23:00,2022-12-13 12:25:00,40,202212,202303,202305,202307,202309,202312,202403
2022-12-14,O,2022-12-14 04:15:00,2022-12-14 13:30:00,2022-12-14 12:23:00,2022-12-14 12:25:00,39,202212,202303,202305,202307,202309,202312,202403
2022-12-15,O,2022-12-15 04:15:00,2022-12-15 13:30:00,2022-12-15 12:23:00,2022-12-15 12:25:00,38,202212,202303,202305,202307,202309,202312,202403
2022-12-16,O,2022-12-16 04:15:00,2022-12-16 13:30:00,2022-12-16 12:23:00,2022-12-16 12:25:00,37,202212,202303,202305,202307,202309,202312,202403
2022-12-19,O,2022-12-19 04:15:00,2022-12-19 13:30:00,2022-12-19 12:23:00,2022-12-19 12:25:00,36,202212,202303,202305,202307,202309,202312,202403
2022-12-20,O,2022-12-20 04:15:00,2022-12-20 13:30:00,2022-12-20 12:23:00,2022-12-20 12:25:00,35,,202303,202305,202307,202309,202312,202403
2022-12-21,O,2022-12-21 04:15:00,2022-12-21 13:30:00,2022-12-21 12:23:00,2022-12-21 12:25:00,34,,202303,202305,202307,202309,202312,202403
2022-12-22,O,2022-12-22 04:15:00,2022-12-22 13:30:00,2022-12-22 12:23:00,2022-12-22 12:25:00,33,,202303,202305,202307,202309,202312,202403
2022-12-23,O,2022-12-23 04:15:00,2022-12-23 13:30:00,2022-12-23 12:23:00,2022-12-23 12:25:00,32,,202303,202305,202307,202309,202312,202403
2022-12-26,X,,,,,,,,,,,,
2022-12-27,O,2022-12-27 04:15:00,2022-12-27 13:30:00,2022-12-27 12:23:00,2022-12-27 12:25:00,31,,202303,202305,202307,202309,202312,202403
2022-12-28,O,2022-12-28 04:15:00,2022-12-28 13:30:00,2022-12-28 12:23:00,2022-12-28 12:25:00,30,,202303,202305,202307,202309,202312,202403
2022-12-29,O,2022-12-29 04:15:00,2022-12-29 13:30:00,2022-12-29 12:23:00,2022-12-29 12:25:00,29,,202303,202305,202307,202309,202312,202403
2022-12-30,O,2022-12-30 04:15:00,2022-12-30 13:30:00,2022-12-30 12:23:00,2022-12-30 12:25:00,28,,202303,202305,202307,202309,202312,202403
2023-01-02,X,,,,,,,,,,,,
2023-01-03,O,2023-01-03 04:15:00,2023-01-03 13:30:00,2023-01-03 12:23:00,2023-01-03 12:25:00,27,,202303,202305,202307,202309,202312,202403
2023-01-04,O,2023-01-04 04:15:00,2023-01-04 13:30:00,2023-01-04 12:23:00,2023-01-04 12:25:00,26,,202303,202305,202307,202309,202312,202403
