trade_date,AUD,BRL,CAD,CHF,CLP,CNH,CNY,COP,CZK,DKK,EUR,GBP,HKD,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RUB,SAR,SEK,SGD,THB,TRY,TWD,ZAR
2007-08-27,0.8301,0.5128,0.9496,0.8313,,,,,0.049144,0.1834,1.3652,2.0129,0.12812,,,,,0.015605,0.008611,,0.09057,,0.1716,0.7195,,,0.03897,,0.145612,0.6577,,,,0.13884
2007-08-28,0.8201,0.4996,0.9409,0.8336,,,,,0.0493,0.1831,1.3632,2.0072,0.12821,,,,,0.015487,0.008728,,0.08992,,0.1715,0.7026,,,0.03888,,0.145338,0.6555,,,,0.137314
2007-08-29,0.8155,0.5086,0.9414,0.8334,,,,,0.049424,0.1833,1.3658,2.0162,0.12817,,,,,0.015697,0.00866,,0.09018,,0.1714,0.7012,,,0.03899,,0.145549,0.6572,,,,0.139178
2007-08-30,0.8148,0.5063,0.9446,0.8313,,,,,0.049119,0.1831,1.3637,2.0134,0.12824,,,,,0.015776,0.008641,,0.09011,,0.1717,0.7024,,,0.039,,0.145286,0.6564,,,,0.139615
2007-08-31,0.8173,0.5097,0.9478,0.8277,,,,,0.049225,0.1829,1.3624,2.0164,0.12824,,,,,0.015704,0.008634,,0.09062,,0.1716,0.7008,,,0.039,,0.144978,0.6553,,,,0.140105
2007-09-03,0.8209,0.5117,0.9494,0.8275,,,,,0.049251,0.1829,1.3625,2.0198,0.12824,,,,,0.015586,0.008629,,0.09067,,0.1714,0.7018,,,0.03904,,0.145008,0.6553,,,,0.138961
2007-09-04,0.8236,0.5134,0.9535,0.8255,,,,,0.049217,0.1827,1.3613,2.0145,0.12827,,,,,0.015494,0.008606,,0.09072,,0.1724,0.6951,,,0.03895,,0.14484,0.6552,,,,0.138576
2007-09-05,0.8224,0.5083,0.949,0.8305,,,,,0.04937,0.1832,1.3653,2.0203,0.1283,,,,,0.015486,0.008686,,0.09018,,0.1728,0.6868,,,0.03902,,0.145364,0.655,,,,0.137716
2007-09-06,0.8287,0.5141,0.9498,0.8322,,,,,0.049567,0.1837,1.3685,2.023,0.12841,,,,,0.015596,0.008673,,0.09042,,0.1732,0.6931,,,0.03899,,0.146487,0.6569,,,,0.13894
2007-09-07,0.8268,0.5141,0.9477,0.8419,,,,,0.049922,0.1849,1.3768,2.0279,0.12844,,,,,0.015411,0.008824,,0.08969,,0.174,0.6903,,,0.03911,,0.147017,0.6562,,,,0.138002
2007-09-10,0.8252,0.5139,0.9501,0.8426,,,,,0.049932,0.1854,1.3807,2.0277,0.12854,,,,,0.015205,0.008807,,0.08981,,0.1756,0.6955,,,0.03918,,0.147624,0.6562,,,,0.138393
2007-09-11,0.8338,0.5198,0.9593,0.8408,,,,,0.050122,0.1857,1.3833,2.0316,0.12843,,,,,0.015454,0.008749,,0.09027,,0.1759,0.7063,,,0.03927,,0.148326,0.6584,,,,0.13944
2007-09-12,0.8423,0.5238,0.965,0.844,,,,,0.050508,0.1867,1.3907,2.0303,0.12841,,,,,0.015639,0.008752,,0.09018,,0.178,0.7137,,,0.0394,,0.149928,0.661,,,,0.140213
2007-09-13,0.8407,0.5252,0.969,0.8424,,,,,0.050529,0.1864,1.3885,2.0316,0.12838,,,,,0.015635,0.008673,,0.09015,,0.1773,0.716,,,0.03943,,0.149997,0.6625,,,,0.14007
2007-09-14,0.8427,0.5261,0.9709,0.8412,,,,,0.050588,0.1862,1.3876,2.01,0.12841,,,,,0.015473,0.008685,,0.08989,,0.1776,0.713,,,0.03946,,0.149802,0.6616,,,,0.139397
2007-09-17,0.8335,0.5209,0.9729,0.8426,,,,,0.050433,0.1861,1.3867,1.9938,0.1284,,,,,0.015332,0.008684,,0.08978,,0.1779,0.706,,,0.03947,,0.14941,0.6597,,,,0.138624
2007-09-18,0.8493,0.5327,0.9836,0.8464,,,,,0.050824,0.1875,1.3972,2.0131,0.12839,,,,,0.015545,0.00864,,0.09056,,0.179,0.721,,,0.03947,,0.15075,0.6621,,,,0.140407
2007-09-19,0.8554,0.5353,0.986,0.8447,,,,,0.05049,0.1873,1.3962,2.0024,0.12846,,,,,0.015852,0.008615,,0.091,,0.1793,0.7336,,,0.0397,,0.151304,0.6633,,,,0.141163
2007-09-20,0.8646,0.5313,0.9992,0.8534,,,,,0.051164,0.1888,1.4076,2.0097,0.12845,,,,,0.015894,0.008738,,0.09107,,0.181,0.741,,,0.0399,,0.152889,0.6644,,,,0.141723
2007-09-21,0.8657,0.5354,0.9995,0.8527,,,,,0.051148,0.1889,1.4082,2.02,0.12848,,,,,0.016027,0.008665,,0.09122,,0.1808,0.7429,,,0.03992,,0.15322,0.6642,,,,0.142755
2007-09-24,0.8674,0.5347,0.9989,0.8526,,,,,0.051122,0.1889,1.4087,2.0214,0.12864,,,,,0.016044,0.008705,,0.09132,,0.1811,0.7452,,,0.03997,,0.153551,0.6664,,,,0.143578
2007-09-25,0.8725,0.5378,0.9985,0.8575,,,,,0.051334,0.1897,1.4144,2.0179,0.12873,,,,,0.016077,0.008731,,0.09151,,0.1816,0.742,,,0.04005,,0.153707,0.6664,,,,0.143616
2007-09-26,0.8752,0.5417,0.9944,0.8547,,,,,0.051192,0.1895,1.4133,2.0155,0.12877,,,,,0.016103,0.008663,,0.0915,,0.1818,0.7432,,,0.04004,,0.15297,0.6673,,,,0.143781
2007-09-27,0.8809,0.5425,0.9986,0.853,,,,,0.051308,0.1899,1.416,2.027,0.12888,,,,,0.016206,0.008651,,0.09156,,0.1835,0.7506,,,0.04007,,0.153486,0.671,,,,0.145201
2007-09-28,0.8886,0.5454,1.0061,0.8594,,,,,0.051843,0.1914,1.4269,2.0453,0.12868,,,,,0.016231,0.008715,,0.09146,,0.1854,0.7579,,,0.04023,,0.155313,0.6729,,,,0.145528
