date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,RobustaCoffee_N0,RobustaCoffee_N1,RobustaCoffee_N2,RobustaCoffee_N3,RobustaCoffee_N4,RobustaCoffee_N5,RobustaCoffee_N6
1991-12-05,O,1991-12-05 04:00:00,1991-12-05 12:30:00,1991-12-05 12:23:00,1991-12-05 12:25:00,4336,,,,,,,
1991-12-06,O,1991-12-06 04:00:00,1991-12-06 12:30:00,1991-12-06 12:23:00,1991-12-06 12:25:00,4335,,,,,,,
1991-12-09,O,1991-12-09 04:00:00,1991-12-09 12:30:00,1991-12-09 12:23:00,1991-12-09 12:25:00,4334,,,,,,,
1991-12-10,O,1991-12-10 04:00:00,1991-12-10 12:30:00,1991-12-10 12:23:00,1991-12-10 12:25:00,4333,,,,,,,
1991-12-11,O,1991-12-11 04:00:00,1991-12-11 12:30:00,1991-12-11 12:23:00,1991-12-11 12:25:00,4332,,,,,,,
1991-12-12,O,1991-12-12 04:00:00,1991-12-12 12:30:00,1991-12-12 12:23:00,1991-12-12 12:25:00,4331,,,,,,,
1991-12-13,O,1991-12-13 04:00:00,1991-12-13 12:30:00,1991-12-13 12:23:00,1991-12-13 12:25:00,4330,,,,,,,
1991-12-16,O,1991-12-16 04:00:00,1991-12-16 12:30:00,1991-12-16 12:23:00,1991-12-16 12:25:00,4329,,,,,,,
1991-12-17,O,1991-12-17 04:00:00,1991-12-17 12:30:00,1991-12-17 12:23:00,1991-12-17 12:25:00,4328,,,,,,,
1991-12-18,O,1991-12-18 04:00:00,1991-12-18 12:30:00,1991-12-18 12:23:00,1991-12-18 12:25:00,4327,,,,,,,
1991-12-19,O,1991-12-19 04:00:00,1991-12-19 12:30:00,1991-12-19 12:23:00,1991-12-19 12:25:00,4326,,,,,,,
1991-12-20,O,1991-12-20 04:00:00,1991-12-20 12:30:00,1991-12-20 12:23:00,1991-12-20 12:25:00,4325,,,,,,,
1991-12-23,O,1991-12-23 04:00:00,1991-12-23 12:30:00,1991-12-23 12:23:00,1991-12-23 12:25:00,4324,,,,,,,
1991-12-24,O,1991-12-24 04:00:00,1991-12-24 12:30:00,1991-12-24 12:23:00,1991-12-24 12:25:00,4323,,,,,,,
1991-12-25,X,,,,,,,,,,,,
1991-12-26,X,,,,,,,,,,,,
1991-12-27,O,1991-12-27 04:00:00,1991-12-27 12:30:00,1991-12-27 12:23:00,1991-12-27 12:25:00,4322,,,,,,,
1991-12-30,O,1991-12-30 04:00:00,1991-12-30 12:30:00,1991-12-30 12:23:00,1991-12-30 12:25:00,4321,,,,,,,
1991-12-31,O,1991-12-31 04:00:00,1991-12-31 12:30:00,1991-12-31 12:23:00,1991-12-31 12:25:00,4320,,,,,,,
1992-01-01,X,,,,,,,,,,,,
1992-01-02,O,1992-01-02 04:00:00,1992-01-02 12:30:00,1992-01-02 12:23:00,1992-01-02 12:25:00,4319,,,,,,,
1992-01-03,O,1992-01-03 04:00:00,1992-01-03 12:30:00,1992-01-03 12:23:00,1992-01-03 12:25:00,4318,,,,,,,
1992-01-06,O,1992-01-06 04:00:00,1992-01-06 12:30:00,1992-01-06 12:23:00,1992-01-06 12:25:00,4317,,,,,,,
1992-01-07,O,1992-01-07 04:00:00,1992-01-07 12:30:00,1992-01-07 12:23:00,1992-01-07 12:25:00,4316,,,,,,,
1992-01-08,O,1992-01-08 04:00:00,1992-01-08 12:30:00,1992-01-08 12:23:00,1992-01-08 12:25:00,4315,,,,,,,
1992-01-09,O,1992-01-09 04:00:00,1992-01-09 12:30:00,1992-01-09 12:23:00,1992-01-09 12:25:00,4314,,,,,,,
1992-01-10,O,1992-01-10 04:00:00,1992-01-10 12:30:00,1992-01-10 12:23:00,1992-01-10 12:25:00,4313,,,,,,,
1992-01-13,O,1992-01-13 04:00:00,1992-01-13 12:30:00,1992-01-13 12:23:00,1992-01-13 12:25:00,4312,,,,,,,
1992-01-14,O,1992-01-14 04:00:00,1992-01-14 12:30:00,1992-01-14 12:23:00,1992-01-14 12:25:00,4311,,,,,,,
1992-01-15,O,1992-01-15 04:00:00,1992-01-15 12:30:00,1992-01-15 12:23:00,1992-01-15 12:25:00,4310,,,,,,,
1992-01-16,O,1992-01-16 04:00:00,1992-01-16 12:30:00,1992-01-16 12:23:00,1992-01-16 12:25:00,4309,,,,,,,
1992-01-17,O,1992-01-17 04:00:00,1992-01-17 12:30:00,1992-01-17 12:23:00,1992-01-17 12:25:00,4308,,,,,,,
1992-01-20,O,1992-01-20 04:00:00,1992-01-20 12:30:00,1992-01-20 12:23:00,1992-01-20 12:25:00,4307,,,,,,,
1992-01-21,O,1992-01-21 04:00:00,1992-01-21 12:30:00,1992-01-21 12:23:00,1992-01-21 12:25:00,4306,,,,,,,
1992-01-22,O,1992-01-22 04:00:00,1992-01-22 12:30:00,1992-01-22 12:23:00,1992-01-22 12:25:00,4305,,,,,,,
1992-01-23,O,1992-01-23 04:00:00,1992-01-23 12:30:00,1992-01-23 12:23:00,1992-01-23 12:25:00,4304,,,,,,,
1992-01-24,O,1992-01-24 04:00:00,1992-01-24 12:30:00,1992-01-24 12:23:00,1992-01-24 12:25:00,4303,,,,,,,
1992-01-27,O,1992-01-27 04:00:00,1992-01-27 12:30:00,1992-01-27 12:23:00,1992-01-27 12:25:00,4302,,,,,,,
1992-01-28,O,1992-01-28 04:00:00,1992-01-28 12:30:00,1992-01-28 12:23:00,1992-01-28 12:25:00,4301,,,,,,,
1992-01-29,O,1992-01-29 04:00:00,1992-01-29 12:30:00,1992-01-29 12:23:00,1992-01-29 12:25:00,4300,,,,,,,
1992-01-30,O,1992-01-30 04:00:00,1992-01-30 12:30:00,1992-01-30 12:23:00,1992-01-30 12:25:00,4299,,,,,,,
1992-01-31,O,1992-01-31 04:00:00,1992-01-31 12:30:00,1992-01-31 12:23:00,1992-01-31 12:25:00,4298,,,,,,,
1992-02-03,O,1992-02-03 04:00:00,1992-02-03 12:30:00,1992-02-03 12:23:00,1992-02-03 12:25:00,4297,,,,,,,
1992-02-04,O,1992-02-04 04:00:00,1992-02-04 12:30:00,1992-02-04 12:23:00,1992-02-04 12:25:00,4296,,,,,,,
1992-02-05,O,1992-02-05 04:00:00,1992-02-05 12:30:00,1992-02-05 12:23:00,1992-02-05 12:25:00,4295,,,,,,,
1992-02-06,O,1992-02-06 04:00:00,1992-02-06 12:30:00,1992-02-06 12:23:00,1992-02-06 12:25:00,4294,,,,,,,
1992-02-07,O,1992-02-07 04:00:00,1992-02-07 12:30:00,1992-02-07 12:23:00,1992-02-07 12:25:00,4293,,,,,,,
1992-02-10,O,1992-02-10 04:00:00,1992-02-10 12:30:00,1992-02-10 12:23:00,1992-02-10 12:25:00,4292,,,,,,,
1992-02-11,O,1992-02-11 04:00:00,1992-02-11 12:30:00,1992-02-11 12:23:00,1992-02-11 12:25:00,4291,,,,,,,
1992-02-12,O,1992-02-12 04:00:00,1992-02-12 12:30:00,1992-02-12 12:23:00,1992-02-12 12:25:00,4290,,,,,,,
1992-02-13,O,1992-02-13 04:00:00,1992-02-13 12:30:00,1992-02-13 12:23:00,1992-02-13 12:25:00,4289,,,,,,,
1992-02-14,O,1992-02-14 04:00:00,1992-02-14 12:30:00,1992-02-14 12:23:00,1992-02-14 12:25:00,4288,,,,,,,
1992-02-17,O,1992-02-17 04:00:00,1992-02-17 12:30:00,1992-02-17 12:23:00,1992-02-17 12:25:00,4287,,,,,,,
1992-02-18,O,1992-02-18 04:00:00,1992-02-18 12:30:00,1992-02-18 12:23:00,1992-02-18 12:25:00,4286,,,,,,,
1992-02-19,O,1992-02-19 04:00:00,1992-02-19 12:30:00,1992-02-19 12:23:00,1992-02-19 12:25:00,4285,,,,,,,
1992-02-20,O,1992-02-20 04:00:00,1992-02-20 12:30:00,1992-02-20 12:23:00,1992-02-20 12:25:00,4284,,,,,,,
1992-02-21,O,1992-02-21 04:00:00,1992-02-21 12:30:00,1992-02-21 12:23:00,1992-02-21 12:25:00,4283,,,,,,,
1992-02-24,O,1992-02-24 04:00:00,1992-02-24 12:30:00,1992-02-24 12:23:00,1992-02-24 12:25:00,4282,,,,,,,
1992-02-25,O,1992-02-25 04:00:00,1992-02-25 12:30:00,1992-02-25 12:23:00,1992-02-25 12:25:00,4281,,,,,,,
1992-02-26,O,1992-02-26 04:00:00,1992-02-26 12:30:00,1992-02-26 12:23:00,1992-02-26 12:25:00,4280,,,,,,,
1992-02-27,O,1992-02-27 04:00:00,1992-02-27 12:30:00,1992-02-27 12:23:00,1992-02-27 12:25:00,4279,,,,,,,
1992-02-28,O,1992-02-28 04:00:00,1992-02-28 12:30:00,1992-02-28 12:23:00,1992-02-28 12:25:00,4278,,,,,,,
1992-03-02,O,1992-03-02 04:00:00,1992-03-02 12:30:00,1992-03-02 12:23:00,1992-03-02 12:25:00,4277,,,,,,,
1992-03-03,O,1992-03-03 04:00:00,1992-03-03 12:30:00,1992-03-03 12:23:00,1992-03-03 12:25:00,4276,,,,,,,
1992-03-04,O,1992-03-04 04:00:00,1992-03-04 12:30:00,1992-03-04 12:23:00,1992-03-04 12:25:00,4275,,,,,,,
1992-03-05,O,1992-03-05 04:00:00,1992-03-05 12:30:00,1992-03-05 12:23:00,1992-03-05 12:25:00,4274,,,,,,,
