date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,SoybeanOil_N0,SoybeanOil_N1,SoybeanOil_N2,SoybeanOil_N3,SoybeanOil_N4,SoybeanOil_N5,SoybeanOil_N6
2011-11-11,O,2011-11-10 20:00:00,2011-11-11 14:20:00,2011-11-11 14:14:00,2011-11-11 14:15:00,7,,201112,201201,201203,201205,201207,201212
2011-11-14,O,2011-11-13 20:00:00,2011-11-14 14:20:00,2011-11-14 14:14:00,2011-11-14 14:15:00,6,,201112,201201,201203,201205,201207,201212
2011-11-15,O,2011-11-14 20:00:00,2011-11-15 14:20:00,2011-11-15 14:14:00,2011-11-15 14:15:00,5,,201112,201201,201203,201205,201207,201212
2011-11-16,O,2011-11-15 20:00:00,2011-11-16 14:20:00,2011-11-16 14:14:00,2011-11-16 14:15:00,4,,201112,201201,201203,201205,201207,201212
2011-11-17,O,2011-11-16 20:00:00,2011-11-17 14:20:00,2011-11-17 14:14:00,2011-11-17 14:15:00,3,,201112,201201,201203,201205,201207,201212
2011-11-18,O,2011-11-17 20:00:00,2011-11-18 14:20:00,2011-11-18 14:14:00,2011-11-18 14:15:00,2,,201112,201201,201203,201205,201207,201212
2011-11-21,O,2011-11-20 20:00:00,2011-11-21 14:20:00,2011-11-21 14:14:00,2011-11-21 14:15:00,1,,201112,201201,201203,201205,201207,201212
2011-11-22,O,2011-11-21 20:00:00,2011-11-22 14:20:00,2011-11-22 14:14:00,2011-11-22 14:15:00,0,,201112,201201,201203,201205,201207,201212
2011-11-23,O,2011-11-22 20:00:00,2011-11-23 14:20:00,2011-11-23 14:14:00,2011-11-23 14:15:00,20,201112,201201,201203,201205,201207,201212,201301
2011-11-24,X,,,,,,,,,,,,
2011-11-25,O,2011-11-24 20:00:00,2011-11-25 14:20:00,2011-11-25 14:14:00,2011-11-25 14:15:00,19,201112,201201,201203,201205,201207,201212,201301
2011-11-28,O,2011-11-27 20:00:00,2011-11-28 14:20:00,2011-11-28 14:14:00,2011-11-28 14:15:00,18,201112,201201,201203,201205,201207,201212,201301
2011-11-29,O,2011-11-28 20:00:00,2011-11-29 14:20:00,2011-11-29 14:14:00,2011-11-29 14:15:00,17,201112,201201,201203,201205,201207,201212,201301
2011-11-30,O,2011-11-29 20:00:00,2011-11-30 14:20:00,2011-11-30 14:14:00,2011-11-30 14:15:00,16,201112,201201,201203,201205,201207,201212,201301
2011-12-01,O,2011-11-30 20:00:00,2011-12-01 14:20:00,2011-12-01 14:14:00,2011-12-01 14:15:00,15,201112,201201,201203,201205,201207,201212,201301
2011-12-02,O,2011-12-01 20:00:00,2011-12-02 14:20:00,2011-12-02 14:14:00,2011-12-02 14:15:00,14,201112,201201,201203,201205,201207,201212,201301
2011-12-05,O,2011-12-04 20:00:00,2011-12-05 14:20:00,2011-12-05 14:14:00,2011-12-05 14:15:00,13,201112,201201,201203,201205,201207,201212,201301
2011-12-06,O,2011-12-05 20:00:00,2011-12-06 14:20:00,2011-12-06 14:14:00,2011-12-06 14:15:00,12,201112,201201,201203,201205,201207,201212,201301
2011-12-07,O,2011-12-06 20:00:00,2011-12-07 14:20:00,2011-12-07 14:14:00,2011-12-07 14:15:00,11,201112,201201,201203,201205,201207,201212,201301
2011-12-08,O,2011-12-07 20:00:00,2011-12-08 14:20:00,2011-12-08 14:14:00,2011-12-08 14:15:00,10,201112,201201,201203,201205,201207,201212,201301
